2019-12-16 15:00:22 status half-installed make:amd64 4.2.1-1.2
2019-12-16 15:00:22 status unpacked make:amd64 4.2.1-1.2
2019-12-16 15:00:22 startup packages configure
2019-12-16 15:00:22 configure binutils-common:amd64 2.31.1-16 <none>
2019-12-16 15:00:22 status unpacked binutils-common:amd64 2.31.1-16
2019-12-16 15:00:22 status half-configured binutils-common:amd64 2.31.1-16
2019-12-16 15:00:22 status installed binutils-common:amd64 2.31.1-16
2019-12-16 15:00:22 configure linux-libc-dev:amd64 4.19.67-2+deb10u2 <none>
2019-12-16 15:00:22 status unpacked linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:00:22 status half-configured linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:00:22 status installed linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:00:22 configure libgomp1:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libgomp1:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libgomp1:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libgomp1:amd64 8.3.0-6
2019-12-16 15:00:22 configure libasan5:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libasan5:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libasan5:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libasan5:amd64 8.3.0-6
2019-12-16 15:00:22 configure make:amd64 4.2.1-1.2 <none>
2019-12-16 15:00:22 status unpacked make:amd64 4.2.1-1.2
2019-12-16 15:00:22 status half-configured make:amd64 4.2.1-1.2
2019-12-16 15:00:22 status installed make:amd64 4.2.1-1.2
2019-12-16 15:00:22 configure libmpfr6:amd64 4.0.2-1 <none>
2019-12-16 15:00:22 status unpacked libmpfr6:amd64 4.0.2-1
2019-12-16 15:00:22 status half-configured libmpfr6:amd64 4.0.2-1
2019-12-16 15:00:22 status installed libmpfr6:amd64 4.0.2-1
2019-12-16 15:00:22 configure libquadmath0:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libquadmath0:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libquadmath0:amd64 8.3.0-6
